iter	Logloss
0	0.6803317934
1	0.6666436789
2	0.6536358958
3	0.6416922348
4	0.6293553669
5	0.6182664471
6	0.6070185454
7	0.5949194616
8	0.5837940389
9	0.5742533139
10	0.5626723992
11	0.5516144881
12	0.5425183916
13	0.5336980669
14	0.5238553665
15	0.5157010745
16	0.506884075
17	0.4994050053
18	0.4908384735
19	0.4827406308
20	0.4747542596
21	0.4674181427
22	0.4597278612
23	0.4520674399
24	0.4447763619
25	0.4381750938
26	0.4312700795
27	0.4245833741
28	0.4178101366
29	0.4118888767
30	0.4056361221
31	0.399573759
32	0.3935471854
33	0.3878323516
34	0.3822277983
35	0.377272816
36	0.3724820159
37	0.3676736875
38	0.3630967618
39	0.3585622808
40	0.353718744
41	0.3492701815
42	0.3445767704
43	0.3402407665
44	0.3355262631
45	0.331517888
46	0.3275300955
47	0.323351934
48	0.3193676957
49	0.3153742635
50	0.3116830211
51	0.3079588805
52	0.3040042387
53	0.3003186654
54	0.2971886943
55	0.2936685876
56	0.2903837956
57	0.2869630051
58	0.2837488667
59	0.2808407333
60	0.2776634957
61	0.2744382115
62	0.271108488
63	0.2681610544
64	0.2656098828
65	0.2627016029
66	0.2600901095
67	0.2576203297
68	0.2549903862
69	0.2526834341
70	0.2502706693
71	0.247784649
72	0.2454772817
73	0.2430546708
74	0.2409038485
75	0.2387062677
76	0.2363982498
77	0.2341840892
78	0.2321653571
79	0.2301697638
80	0.2281382992
81	0.2260600794
82	0.2235632841
83	0.2218143667
84	0.2199757208
85	0.2182894945
86	0.2163144619
87	0.214842358
88	0.2131883528
89	0.2115090309
90	0.2096103343
91	0.2079232689
92	0.2065576471
93	0.2048428041
94	0.203547764
95	0.202043383
96	0.2004078042
97	0.1987370374
98	0.1975117247
99	0.1961386706
100	0.1946594465
101	0.1933476436
102	0.1918565747
103	0.1903896531
104	0.1890432723
105	0.187615339
106	0.1865031404
107	0.185352541
108	0.1840081835
109	0.1826235288
110	0.1815164453
111	0.1803027717
112	0.1791155641
113	0.1778936325
114	0.1768875922
115	0.1757404367
116	0.1744823275
117	0.1732992901
118	0.1720563115
119	0.1709523508
120	0.1700404005
121	0.1689525389
122	0.1678461911
123	0.1668242596
124	0.1657551106
125	0.1648176102
126	0.1640462317
127	0.1631297282
128	0.1619828959
129	0.1610458256
130	0.1599654343
131	0.1588635112
132	0.1579187271
133	0.1568752782
134	0.1559295568
135	0.154937944
136	0.1541367648
137	0.1531705664
138	0.1522526103
139	0.1513171695
140	0.1503710534
141	0.1495485616
142	0.148762526
143	0.1480384046
144	0.1472719763
145	0.1464820917
146	0.1457393837
147	0.1449522887
148	0.1440831979
149	0.1434084196
150	0.1426915015
151	0.1418184679
152	0.1411260532
153	0.140333994
154	0.1395103964
155	0.1386941097
156	0.1380844427
157	0.1374111277
158	0.1367408007
159	0.1360808572
160	0.1354812311
161	0.1349372065
162	0.1341440062
163	0.1335156209
164	0.1328153696
165	0.1322039504
166	0.1315463901
167	0.1309475862
168	0.1301616896
169	0.1296528319
170	0.1289658636
171	0.1282522817
172	0.1275649193
173	0.1269279611
174	0.1263296905
175	0.1256645944
176	0.1250487742
177	0.1243809789
178	0.1236961923
179	0.1230816461
180	0.1225474739
181	0.121911167
182	0.1213450511
183	0.1208136862
184	0.1202969403
185	0.119770942
186	0.1192075183
187	0.1185620631
188	0.1180792791
189	0.1174787265
190	0.1168509847
191	0.1164082796
192	0.1158874004
193	0.1154644615
194	0.1150411675
195	0.1146377235
196	0.1141561806
197	0.1136034356
198	0.1130569025
199	0.1124978325
200	0.112023651
201	0.1116098449
202	0.1112021297
203	0.1107445095
204	0.1103173565
205	0.1099031286
206	0.10947707
207	0.1090254857
208	0.1086614264
209	0.1081565968
210	0.1075678182
211	0.1071793362
212	0.1066904893
213	0.1062765224
214	0.1058056955
215	0.105428291
216	0.104980272
217	0.1046133804
218	0.1042585736
219	0.1038798817
220	0.1034685007
221	0.1030033384
222	0.1025793904
223	0.1022692641
224	0.1019144677
225	0.1016211739
226	0.1012778431
227	0.1007885248
228	0.1004073982
229	0.1000747981
230	0.09968101232
231	0.09935478918
232	0.09896448267
233	0.09862163037
234	0.0981709395
235	0.09776270136
236	0.09746622416
237	0.09712400485
238	0.09678316185
239	0.0963255158
240	0.09592891831
241	0.0955423901
242	0.0951448126
243	0.09480073197
244	0.09441287709
245	0.09415023194
246	0.09373641926
247	0.09329106711
248	0.09292948193
249	0.09267924603
250	0.09232610357
251	0.09198768391
252	0.09160304918
253	0.09132564961
254	0.09106453859
255	0.0906555925
256	0.09031146213
257	0.08995457589
258	0.08966166337
259	0.089413287
260	0.08911183062
261	0.08869541241
262	0.08840461657
263	0.08803258604
264	0.08769466202
265	0.08741640401
266	0.08706545598
267	0.08684705069
268	0.08645510073
269	0.08618703968
270	0.08576936331
271	0.08542764328
272	0.08509168566
273	0.08477260243
274	0.08449906618
275	0.0842138523
276	0.08389911299
277	0.08367671153
278	0.08341218374
279	0.08304767609
280	0.08275646248
281	0.0824639627
282	0.08216439783
283	0.08185279951
284	0.08151142921
285	0.08115609346
286	0.0808332132
287	0.08050594533
288	0.08021740878
289	0.07994920864
290	0.07967174759
291	0.07943032643
292	0.07924536296
293	0.078920492
294	0.0786492002
295	0.07838005621
296	0.0780895114
297	0.07783643902
298	0.07764425788
299	0.07735443
300	0.07712376704
301	0.07692068095
302	0.07658634689
303	0.07627481433
304	0.07599265297
305	0.0757267578
306	0.07540041911
307	0.07513946614
308	0.07490787306
309	0.07463272253
310	0.07434833515
311	0.07402824182
312	0.0738106897
313	0.07352768326
314	0.07332046827
315	0.07314000322
316	0.07291370442
317	0.07271356636
318	0.0723924507
319	0.07211004154
320	0.0718491336
321	0.07153887872
322	0.07128852833
323	0.071043163
324	0.07078695801
325	0.07053546566
326	0.07028676816
327	0.0700987399
328	0.06986839456
329	0.06964254891
330	0.0694982928
331	0.06919180811
332	0.06894490223
333	0.06873744763
334	0.06852006192
335	0.06823951531
336	0.06799057827
337	0.06775437702
338	0.06749484595
339	0.06727735554
340	0.06708586261
341	0.06688511337
342	0.06671366923
343	0.06641736671
344	0.06620658722
345	0.06605259947
346	0.06582081037
347	0.06564890858
348	0.06544245241
349	0.0652517365
350	0.06497922729
351	0.06478871066
352	0.06457631711
353	0.06439760696
354	0.06422462107
355	0.06406973511
356	0.06383854841
357	0.06364315222
358	0.06350061173
359	0.06328676506
360	0.06308278635
361	0.0629210354
362	0.06264700033
363	0.06253009561
364	0.06234658952
365	0.06215127469
366	0.06192033992
367	0.06175405823
368	0.06145863011
369	0.06122718544
370	0.06101573224
371	0.06079182766
372	0.06065244827
373	0.06045651364
374	0.06028396885
375	0.06010389152
376	0.05991830929
377	0.0597244532
378	0.05952034261
379	0.05930461148
380	0.05913537653
381	0.05884021931
382	0.05870228024
383	0.05852296717
384	0.05836717036
385	0.05814695814
386	0.05794178637
387	0.05778767316
388	0.05764007085
389	0.05753267504
390	0.05734769483
391	0.05710530787
392	0.05694779688
393	0.05678400534
394	0.05660600361
395	0.0564090119
396	0.05623436952
397	0.05605324822
398	0.05589053059
399	0.0557018182
400	0.05554030105
401	0.05538909465
402	0.05516301866
403	0.05502309711
404	0.05482436223
405	0.05466494538
406	0.05452288054
407	0.05437962187
408	0.05423407033
409	0.05407622947
410	0.05384798267
411	0.05365543966
412	0.05352898454
413	0.05333406749
414	0.05320348588
415	0.05305029316
416	0.05289050314
417	0.05273497821
418	0.05255833505
419	0.05244321184
420	0.0523398496
421	0.05214820558
422	0.05197803259
423	0.05178948377
424	0.05164945607
425	0.05145334447
426	0.05131568059
427	0.0511897244
428	0.05101484466
429	0.0508579339
430	0.05068868837
431	0.05053145057
432	0.05036223132
433	0.05021757748
434	0.05008667864
435	0.0499647075
436	0.04979953819
437	0.04965251056
438	0.04952418566
439	0.04936957815
440	0.04920964165
441	0.04902310521
442	0.04887863624
443	0.0487700611
444	0.04860544482
445	0.04842514674
446	0.04824526406
447	0.0480835382
448	0.04790580365
449	0.04773410369
450	0.0475839663
451	0.04744751348
452	0.04728893772
453	0.0471504816
454	0.04697703962
455	0.04683203158
456	0.04672587044
457	0.04660677582
458	0.04646464491
459	0.04629754111
460	0.04614607093
461	0.04602965965
462	0.04591165074
463	0.0457888401
464	0.04564106245
465	0.04549651621
466	0.04537763033
467	0.04522101934
468	0.04511514074
469	0.04497786487
470	0.04487583636
471	0.04476720262
472	0.04465647631
473	0.04454942005
474	0.04437846831
475	0.04423306716
476	0.04412772881
477	0.04397471665
478	0.0438432257
479	0.04369719309
480	0.04357185357
481	0.04341604449
482	0.04327187228
483	0.04313072567
484	0.04304777359
485	0.04292013878
486	0.04274618091
487	0.04263746132
488	0.04249967301
489	0.04236839918
490	0.04223476372
491	0.04213632105
492	0.04202362791
493	0.0419261919
494	0.04177561447
495	0.04165414284
496	0.04152591218
497	0.04141387746
498	0.04131608914
499	0.04122669803
500	0.04110126084
501	0.04095961827
502	0.04085407931
503	0.04072644592
504	0.04058554248
505	0.04045857994
506	0.04033642014
507	0.04022096435
508	0.04011585406
509	0.04001959045
510	0.03988793103
511	0.03978415539
512	0.03965864924
513	0.03960527992
514	0.03950466243
515	0.03938815277
516	0.03926890691
517	0.03915371022
518	0.03905044997
519	0.03894179843
520	0.03883118003
521	0.03872548558
522	0.03858969275
523	0.03849319618
